700038442 	 763536994 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038442_from_subject_763536994__sex_male_
700038490 	 763476303 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038490_from_subject_763476303__sex_male_
700038538 	 763880905 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038538_from_subject_763880905__sex_male_
700038586 	 404239096 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038586_from_subject_404239096__sex_male_
700038749 	 508703490 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038749_from_subject_508703490__sex_female_
700038964 	 370027359 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700038964_from_subject_370027359__sex_male_
700095364 	 158398106 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700095364_from_subject_158398106__sex_male_
700095421 	 158418336 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700095421_from_subject_158418336__sex_male_
700095785 	 160825720 	 1 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700095785_from_subject_160825720__sex_male_
700095967 	 160906640 	 1 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700095967_from_subject_160906640__sex_male_
700096058 	 160947100 	 1 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700096058_from_subject_160947100__sex_male_
700096278 	 160886410 	 1 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700096278_from_subject_160886410__sex_male_
700096579 	 160866180 	 1 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700096579_from_subject_160866180__sex_female_
700096601 	 160744799 	 1 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700096601_from_subject_160744799__sex_female_
700097245 	 158216035 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700097245_from_subject_158216035__sex_male_
700097302 	 158013734 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700097302_from_subject_158013734__sex_female_
700097642 	 158155345 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700097642_from_subject_158155345__sex_male_
