700096602 	 160744799 	 1 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700096602_from_subject_160744799__sex_female_
700097246 	 158216035 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700097246_from_subject_158216035__sex_male_
700097303 	 158013734 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700097303_from_subject_158013734__sex_female_
700097643 	 158155345 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700097643_from_subject_158155345__sex_male_
700098279 	 158742018 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700098279_from_subject_158742018__sex_female_
700098371 	 158458797 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700098371_from_subject_158458797__sex_female_
700098611 	 432193348 	 1 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700098611_from_subject_432193348__sex_female_
700098681 	 370425937 	 1 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700098681_from_subject_370425937__sex_female_
700098944 	 158236265 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700098944_from_subject_158236265__sex_female_
700099014 	 158114885 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700099014_from_subject_158114885__sex_female_
700099071 	 158276726 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700099071_from_subject_158276726__sex_female_
700099602 	 158438567 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700099602_from_subject_158438567__sex_male_
700099758 	 158964549 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700099758_from_subject_158964549__sex_male_
700100177 	 336497421 	 1 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700100177_from_subject_336497421__sex_male_
700100239 	 158883629 	 2 	 female 	 "BI,BCM" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700100239_from_subject_158883629__sex_female_
700101650 	 159389382 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700101650_from_subject_159389382__sex_male_
700102254 	 159166850 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700102254_from_subject_159166850__sex_male_
700102597 	 159227541 	 2 	 female 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700102597_from_subject_159227541__sex_female_
700102917 	 159146620 	 2 	 male 	 BCM 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700102917_from_subject_159146620__sex_male_
700103287 	 682449369 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700103287_from_subject_682449369__sex_female_
700103439 	 763860675 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700103439_from_subject_763860675__sex_male_
700103496 	 132902142 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700103496_from_subject_132902142__sex_female_
700103572 	 863126187 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700103572_from_subject_863126187__sex_male_
700103614 	 765094712 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700103614_from_subject_765094712__sex_male_
700103662 	 763759525 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700103662_from_subject_763759525__sex_female_
700105047 	 178713055 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105047_from_subject_178713055__sex_female_
700105105 	 256789458 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105105_from_subject_256789458__sex_female_
700105162 	 612472597 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105162_from_subject_612472597__sex_female_
700105219 	 763820215 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105219_from_subject_763820215__sex_female_
700105272 	 764325968 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105272_from_subject_764325968__sex_male_
700105364 	 764487809 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105364_from_subject_764487809__sex_male_
700105409 	 763557224 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105409_from_subject_763557224__sex_female_
700105475 	 643185023 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105475_from_subject_643185023__sex_female_
700105578 	 765074482 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105578_from_subject_765074482__sex_male_
700105629 	 953045535 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105629_from_subject_953045535__sex_female_
700105675 	 763456073 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105675_from_subject_763456073__sex_female_
700105732 	 764447348 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105732_from_subject_764447348__sex_male_
700105789 	 375450439 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105789_from_subject_375450439__sex_female_
700105843 	 763516763 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105843_from_subject_763516763__sex_male_
700105891 	 668248235 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105891_from_subject_668248235__sex_male_
700105931 	 658594300 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105931_from_subject_658594300__sex_male_
700105981 	 465578759 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700105981_from_subject_465578759__sex_female_
700106008 	 764184357 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106008_from_subject_764184357__sex_female_
700106074 	 737052003 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106074_from_subject_737052003__sex_female_
700106347 	 289996019 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106347_from_subject_289996019__sex_male_
700106406 	 517810313 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106406_from_subject_517810313__sex_male_
700106502 	 553359145 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106502_from_subject_553359145__sex_female_
700106560 	 208027353 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106560_from_subject_208027353__sex_female_
700106608 	 763982056 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106608_from_subject_763982056__sex_male_
700106656 	 764224817 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106656_from_subject_764224817__sex_male_
700106710 	 184349034 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106710_from_subject_184349034__sex_male_
700106818 	 764143897 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106818_from_subject_764143897__sex_female_
700106866 	 764811490 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106866_from_subject_764811490__sex_female_
700106939 	 147406386 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106939_from_subject_147406386__sex_male_
700106993 	 275382046 	 1 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700106993_from_subject_275382046__sex_male_
700107201 	 686765762 	 1 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700107201_from_subject_686765762__sex_male_
700107828 	 161311242 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700107828_from_subject_161311242__sex_male_
700108050 	 161270782 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700108050_from_subject_161270782__sex_male_
700108296 	 160825720 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700108296_from_subject_160825720__sex_male_
700108485 	 160967330 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700108485_from_subject_160967330__sex_male_
700108794 	 160987560 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700108794_from_subject_160987560__sex_male_
700108966 	 161007791 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700108966_from_subject_161007791__sex_female_
700109119 	 970836795 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109119_from_subject_970836795__sex_female_
700109242 	 638754422 	 2 	 female 	 "BCM,JCVI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109242_from_subject_638754422__sex_female_
700109329 	 160866180 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109329_from_subject_160866180__sex_female_
700109395 	 370425937 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109395_from_subject_370425937__sex_female_
700109461 	 161554003 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109461_from_subject_161554003__sex_male_
700109819 	 160947100 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109819_from_subject_160947100__sex_male_
700109876 	 161351702 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109876_from_subject_161351702__sex_male_
700109999 	 161412393 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700109999_from_subject_161412393__sex_male_
700110167 	 246515023 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110167_from_subject_246515023__sex_female_
700110233 	 161473083 	 2 	 female 	 "BCM,JCVI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110233_from_subject_161473083__sex_female_
700110299 	 892969023 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110299_from_subject_892969023__sex_female_
700110365 	 650853796 	 2 	 female 	 "BCM,JCVI" 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110365_from_subject_650853796__sex_female_
700110431 	 604812005 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110431_from_subject_604812005__sex_male_
700110599 	 295137534 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110599_from_subject_295137534__sex_male_
700110656 	 368533040 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110656_from_subject_368533040__sex_male_
700110713 	 492786515 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110713_from_subject_492786515__sex_male_
700110824 	 809635352 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700110824_from_subject_809635352__sex_female_
700111038 	 686765762 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700111038_from_subject_686765762__sex_male_
700111451 	 451588811 	 1 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700111451_from_subject_451588811__sex_female_
700111517 	 336497421 	 2 	 male 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700111517_from_subject_336497421__sex_male_
700111586 	 937495960 	 1 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700111586_from_subject_937495960__sex_female_
700111823 	 414519462 	 2 	 female 	 JCVI 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700111823_from_subject_414519462__sex_female_
700113022 	 764750800 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700113022_from_subject_764750800__sex_male_
700113064 	 764872181 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700113064_from_subject_764872181__sex_male_
700113110 	 764467579 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700113110_from_subject_764467579__sex_female_
700113493 	 763719065 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700113493_from_subject_763719065__sex_female_
700113559 	 764346198 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700113559_from_subject_764346198__sex_female_
