700102129 	 414519462 	 1 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700102129_from_subject_414519462__sex_female_
700102258 	 159166850 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700102258_from_subject_159166850__sex_male_
700102601 	 159227541 	 2 	 female 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700102601_from_subject_159227541__sex_female_
700102921 	 159146620 	 2 	 male 	 BCM 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700102921_from_subject_159146620__sex_male_
700103273 	 682449369 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700103273_from_subject_682449369__sex_female_
700103482 	 132902142 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700103482_from_subject_132902142__sex_female_
700103618 	 765094712 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700103618_from_subject_765094712__sex_male_
700105033 	 178713055 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105033_from_subject_178713055__sex_female_
700105090 	 256789458 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105090_from_subject_256789458__sex_female_
700105147 	 612472597 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105147_from_subject_612472597__sex_female_
700105309 	 516889361 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105309_from_subject_516889361__sex_male_
700105462 	 643185023 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105462_from_subject_643185023__sex_female_
700105616 	 953045535 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105616_from_subject_953045535__sex_female_
700105879 	 668248235 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105879_from_subject_668248235__sex_male_
700105935 	 658594300 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105935_from_subject_658594300__sex_male_
700105985 	 465578759 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700105985_from_subject_465578759__sex_female_
700106012 	 764184357 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106012_from_subject_764184357__sex_female_
700106173 	 823052294 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106173_from_subject_823052294__sex_male_
700106288 	 550534656 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106288_from_subject_550534656__sex_female_
700106409 	 517810313 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106409_from_subject_517810313__sex_male_
700106431 	 338793263 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106431_from_subject_338793263__sex_female_
700106488 	 553359145 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106488_from_subject_553359145__sex_female_
700106545 	 208027353 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106545_from_subject_208027353__sex_female_
700106660 	 764224817 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106660_from_subject_764224817__sex_male_
700106698 	 184349034 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106698_from_subject_184349034__sex_male_
700106943 	 147406386 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106943_from_subject_147406386__sex_male_
700106982 	 275382046 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700106982_from_subject_275382046__sex_male_
700107205 	 686765762 	 1 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700107205_from_subject_686765762__sex_male_
700107832 	 161311242 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700107832_from_subject_161311242__sex_male_
700108054 	 161270782 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700108054_from_subject_161270782__sex_male_
700108300 	 160825720 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700108300_from_subject_160825720__sex_male_
700108489 	 160967330 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700108489_from_subject_160967330__sex_male_
700108798 	 160987560 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700108798_from_subject_160987560__sex_male_
700108970 	 161007791 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700108970_from_subject_161007791__sex_female_
700109123 	 970836795 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109123_from_subject_970836795__sex_female_
700109246 	 638754422 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109246_from_subject_638754422__sex_female_
700109333 	 160866180 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109333_from_subject_160866180__sex_female_
700109399 	 370425937 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109399_from_subject_370425937__sex_female_
700109465 	 161554003 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109465_from_subject_161554003__sex_male_
700109766 	 161331472 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109766_from_subject_161331472__sex_male_
700109823 	 160947100 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109823_from_subject_160947100__sex_male_
700109880 	 161351702 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700109880_from_subject_161351702__sex_male_
700110003 	 161412393 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110003_from_subject_161412393__sex_male_
700110171 	 246515023 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110171_from_subject_246515023__sex_female_
700110237 	 161473083 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110237_from_subject_161473083__sex_female_
700110435 	 604812005 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110435_from_subject_604812005__sex_male_
700110660 	 368533040 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110660_from_subject_368533040__sex_male_
700110717 	 492786515 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110717_from_subject_492786515__sex_male_
700110828 	 809635352 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700110828_from_subject_809635352__sex_female_
700111042 	 686765762 	 2 	 male 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700111042_from_subject_686765762__sex_male_
700111455 	 451588811 	 1 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700111455_from_subject_451588811__sex_female_
700111827 	 414519462 	 2 	 female 	 JCVI 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700111827_from_subject_414519462__sex_female_
700113010 	 764750800 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700113010_from_subject_764750800__sex_male_
700113069 	 764872181 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700113069_from_subject_764872181__sex_male_
700113117 	 764467579 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700113117_from_subject_764467579__sex_female_
700113497 	 763719065 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700113497_from_subject_763719065__sex_female_
700113612 	 763536994 	 3 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700113612_from_subject_763536994__sex_male_
700114013 	 763395383 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114013_from_subject_763395383__sex_male_
700114215 	 663835652 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114215_from_subject_663835652__sex_female_
700114270 	 763638144 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114270_from_subject_763638144__sex_female_
700114326 	 765560005 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114326_from_subject_765560005__sex_male_
700114426 	 764042746 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114426_from_subject_764042746__sex_female_
700114486 	 739574095 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114486_from_subject_739574095__sex_female_
700114552 	 875002022 	 1 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114552_from_subject_875002022__sex_female_
700114609 	 763901136 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114609_from_subject_763901136__sex_female_
700114704 	 764831721 	 2 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114704_from_subject_764831721__sex_male_
700114801 	 375450439 	 2 	 female 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114801_from_subject_375450439__sex_female_
700114858 	 682102541 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114858_from_subject_682102541__sex_male_
700114963 	 103092734 	 1 	 male 	 WUGC 	 Left_Antecubital_fossa 	 HMP_Human_metagenome_sample_700114963_from_subject_103092734__sex_male_
